"time","t","s"
20:30:00,0,332
20:30:01,1,332
20:30:02,2,332
20:30:03,3,332
20:30:04,4,332
20:30:05,5,332
20:30:06,6,332
20:30:07,7,332
20:30:08,8,332
20:30:09,9,332
20:30:10,10,332
20:30:11,11,332
20:30:12,12,332
20:30:13,13,332
20:30:14,14,332
20:30:15,15,332
20:30:16,16,332
20:30:17,17,332
20:30:18,18,332
20:30:19,19,332
20:30:20,20,332
20:30:21,21,332
20:30:22,22,332
20:30:23,23,332
20:30:24,24,332
20:30:25,25,332
20:30:26,26,332
20:30:27,27,332
20:30:28,28,332
20:30:29,29,332
20:30:30,30,332
20:30:31,31,332
20:30:32,32,332
20:30:33,33,332
20:30:34,34,332
20:30:35,35,332
20:30:36,36,332
20:30:37,37,332
20:30:38,38,332
20:30:39,39,332
20:30:40,40,332
20:30:41,41,332
20:30:42,42,332
20:30:43,43,332
20:30:44,44,332
20:30:45,45,332
20:30:46,46,332
20:30:47,47,332
20:30:48,48,332
20:30:49,49,332
20:30:50,50,332
20:30:51,51,332
20:30:52,52,332
20:30:53,53,332
20:30:54,54,332
20:30:55,55,332
20:30:56,56,332
20:30:57,57,332
20:30:58,58,332
20:30:59,59,332
20:31:00,60,332
20:31:01,61,332
20:31:02,62,332
20:31:03,63,332
20:31:04,64,332
20:31:05,65,332
20:31:06,66,332
20:31:07,67,332
20:31:08,68,332
20:31:09,69,332
20:31:10,70,332
20:31:11,71,332
20:31:12,72,332
20:31:13,73,332
20:31:14,74,332
20:31:15,75,332
20:31:16,76,332
20:31:17,77,332
20:31:18,78,332
20:31:19,79,332
20:31:20,80,332
20:31:21,81,332
20:31:22,82,332
20:31:23,83,332
20:31:24,84,332
20:31:25,85,332
20:31:26,86,332
20:31:27,87,332
20:31:28,88,332
20:31:29,89,332
20:31:30,90,332
20:31:31,91,332
20:31:32,92,332
20:31:33,93,333
20:31:34,94,333
20:31:35,95,333
20:31:36,96,333
20:31:37,97,333
20:31:38,98,333
20:31:39,99,333
20:31:40,100,333
20:31:41,101,333
20:31:42,102,333
20:31:43,103,333
20:31:44,104,333
20:31:45,105,333
20:31:46,106,333
20:31:47,107,333
20:31:48,108,333
20:31:49,109,333
20:31:50,110,333
20:31:51,111,334
20:31:52,112,334
20:31:53,113,334
20:31:54,114,335
20:31:55,115,335
20:31:56,116,336
20:31:57,117,336
20:31:58,118,336
20:31:59,119,338
20:32:00,120,338
20:32:01,121,338
20:32:02,122,338
20:32:03,123,338
20:32:04,124,344
20:32:05,125,345
20:32:06,126,347
20:32:07,127,349
20:32:08,128,350
20:32:09,129,352
20:32:10,130,353
20:32:11,131,356
20:32:12,132,363
20:32:13,133,365
20:32:14,134,366
20:32:15,135,366
20:32:16,136,370
20:32:17,137,370
20:32:18,138,372
20:32:19,139,373
20:32:20,140,376
20:32:21,141,377
20:32:22,142,385
20:32:23,143,386
20:32:24,144,387
20:32:25,145,389
20:32:26,146,390
20:32:27,147,392
20:32:28,148,396
20:32:29,149,396
20:32:30,150,397
20:32:31,151,398
20:32:32,152,398
20:32:33,153,398
20:32:34,154,397
20:32:35,155,397
20:32:36,156,406
20:32:37,157,407
20:32:38,158,410
20:32:39,159,410
20:32:40,160,410
20:32:41,161,410
20:32:42,162,410
20:32:43,163,410
20:32:44,164,410
20:32:45,165,410
20:32:46,166,410
20:32:47,167,410
20:32:48,168,410
20:32:49,169,410
20:32:50,170,410
20:32:51,171,410
20:32:52,172,410
20:32:53,173,410
20:32:54,174,410
20:32:55,175,412
20:32:56,176,418
20:32:57,177,398
20:32:58,178,417
20:32:59,179,417
20:33:00,180,400
20:33:01,181,411
20:33:02,182,411
20:33:03,183,411
20:33:04,184,411
20:33:05,185,414
20:33:06,186,414
20:33:07,187,412
20:33:08,188,413
20:33:09,189,413
20:33:10,190,414
20:33:11,191,413
20:33:12,192,412
20:33:13,193,411
20:33:14,194,410
20:33:15,195,409
20:33:16,196,408
20:33:17,197,407
20:33:18,198,407
20:33:19,199,406
20:33:20,200,406
20:33:21,201,405
20:33:22,202,404
20:33:23,203,403
20:33:24,204,402
20:33:25,205,402
20:33:26,206,401
20:33:27,207,400
20:33:28,208,400
20:33:29,209,399
20:33:30,210,398
20:33:31,211,397
20:33:32,212,397
20:33:33,213,396
20:33:34,214,395
20:33:35,215,394
20:33:36,216,393
20:33:37,217,393
20:33:38,218,392
20:33:39,219,391
20:33:40,220,390
20:33:41,221,390
20:33:42,222,390
20:33:43,223,389
20:33:44,224,388
20:33:45,225,387
20:33:46,226,387
20:33:47,227,386
20:33:48,228,386
20:33:49,229,385
20:33:50,230,385
20:33:51,231,384
20:33:52,232,384
20:33:53,233,383
20:33:54,234,382
20:33:55,235,381
20:33:56,236,381
20:33:57,237,380
20:33:58,238,380
20:33:59,239,379
20:34:00,240,379
20:34:01,241,378
20:34:02,242,378
20:34:03,243,377
20:34:04,244,376
20:34:05,245,375
20:34:06,246,375
20:34:07,247,374
20:34:08,248,374
20:34:09,249,373
20:34:10,250,372
20:34:11,251,372
20:34:12,252,371
20:34:13,253,371
20:34:14,254,370
20:34:15,255,370
20:34:16,256,369
20:34:17,257,369
20:34:18,258,368
20:34:19,259,368
20:34:20,260,367
20:34:21,261,366
20:34:22,262,366
20:34:23,263,365
20:34:24,264,365
20:34:25,265,364
20:34:26,266,364
20:34:27,267,363
20:34:28,268,363
20:34:29,269,362
20:34:30,270,362
20:34:31,271,362
20:34:32,272,361
20:34:33,273,361
20:34:34,274,361
20:34:35,275,360
20:34:36,276,360
20:34:37,277,359
20:34:38,278,359
20:34:39,279,358
20:34:40,280,358
20:34:41,281,358
20:34:42,282,358
20:34:43,283,357
20:34:44,284,357
20:34:45,285,357
20:34:46,286,356
20:34:47,287,356
20:34:48,288,356
20:34:49,289,355
20:34:50,290,355
20:34:51,291,355
20:34:52,292,354
20:34:53,293,354
20:34:54,294,354
20:34:55,295,353
20:34:56,296,353
20:34:57,297,353
20:34:58,298,352
20:34:59,299,352
20:35:00,300,352
20:35:01,301,351
20:35:02,302,351
20:35:03,303,351
20:35:04,304,351
20:35:05,305,350
20:35:06,306,350
20:35:07,307,350
20:35:08,308,350
20:35:09,309,349
20:35:10,310,349
20:35:11,311,349
20:35:12,312,349
20:35:13,313,348
20:35:14,314,348
20:35:15,315,348
20:35:16,316,348
20:35:17,317,348
20:35:18,318,347
20:35:19,319,347
20:35:20,320,347
20:35:21,321,346
20:35:22,322,346
20:35:23,323,346
20:35:24,324,346
20:35:25,325,346
20:35:26,326,346
20:35:27,327,346
20:35:28,328,346
20:35:29,329,346
20:35:30,330,346
20:35:31,331,345
20:35:32,332,345
20:35:33,333,345
20:35:34,334,344
20:35:35,335,344
20:35:36,336,344
20:35:37,337,344
20:35:38,338,344
20:35:39,339,343
20:35:40,340,343
20:35:41,341,344
20:35:42,342,343
20:35:43,343,342
20:35:44,344,342
20:35:45,345,342
20:35:46,346,342
20:35:47,347,342
20:35:48,348,342
20:35:49,349,342
20:35:50,350,342
20:35:51,351,342
20:35:52,352,342
20:35:53,353,342
20:35:54,354,342
20:35:55,355,342
20:35:56,356,342
20:35:57,357,341
20:35:58,358,341
20:35:59,359,341
20:36:00,360,341
20:36:01,361,341
20:36:02,362,341
20:36:03,363,341
20:36:04,364,341
20:36:05,365,340
20:36:06,366,340
20:36:07,367,340
20:36:08,368,340
20:36:09,369,340
20:36:10,370,340
20:36:11,371,340
20:36:12,372,340
20:36:13,373,340
20:36:14,374,340
20:36:15,375,340
20:36:16,376,340
20:36:17,377,340
20:36:18,378,340
20:36:19,379,339
20:36:20,380,339
20:36:21,381,339
20:36:22,382,338
20:36:23,383,338
20:36:24,384,338
20:36:25,385,338
20:36:26,386,338
20:36:27,387,338
20:36:28,388,338
20:36:29,389,338
20:36:30,390,339
20:36:31,391,339
20:36:32,392,339
20:36:33,393,339
20:36:34,394,339
20:36:35,395,339
20:36:36,396,338
20:36:37,397,338
20:36:38,398,338
20:36:39,399,338
20:36:40,400,338
20:36:41,401,338
20:36:42,402,338
20:36:43,403,338
20:36:44,404,338
20:36:45,405,338
20:36:46,406,338
20:36:47,407,338
20:36:48,408,338
20:36:49,409,338
20:36:50,410,338
20:36:51,411,338
20:36:52,412,338
20:36:53,413,338
20:36:54,414,338
20:36:55,415,337
20:36:56,416,337
20:36:57,417,337
20:36:58,418,337
20:36:59,419,337
20:37:00,420,337
20:37:01,421,337
20:37:02,422,337
20:37:03,423,338
20:37:04,424,338
20:37:05,425,337
20:37:06,426,337
20:37:07,427,337
20:37:08,428,337
20:37:09,429,337
20:37:10,430,337
20:37:11,431,337
20:37:12,432,337
20:37:13,433,337
20:37:14,434,337
20:37:15,435,336
20:37:16,436,336
20:37:17,437,336
20:37:18,438,336
20:37:19,439,336
20:37:20,440,337
20:37:21,441,337
20:37:22,442,337
20:37:23,443,337
20:37:24,444,337
20:37:25,445,337
20:37:26,446,337
20:37:27,447,337
20:37:28,448,337
20:37:29,449,337
20:37:30,450,337
20:37:31,451,337
20:37:32,452,337
20:37:33,453,337
20:37:34,454,336
20:37:35,455,336
20:37:36,456,336
20:37:37,457,336
20:37:38,458,336
20:37:39,459,336
20:37:40,460,336
20:37:41,461,336
20:37:42,462,336
20:37:43,463,336
20:37:44,464,336
20:37:45,465,336
20:37:46,466,336
20:37:47,467,336
20:37:48,468,336
20:37:49,469,336
20:37:50,470,336
20:37:51,471,336
20:37:52,472,336
20:37:53,473,336
20:37:54,474,336
20:37:55,475,336
20:37:56,476,336
20:37:57,477,336
20:37:58,478,336
20:37:59,479,336
20:38:00,480,336
20:38:01,481,336
20:38:02,482,336
20:38:03,483,336
20:38:04,484,336
20:38:05,485,336
20:38:06,486,336
20:38:07,487,336
20:38:08,488,336
20:38:09,489,336
20:38:10,490,336
20:38:11,491,336
20:38:12,492,336
20:38:13,493,336
20:38:14,494,336
20:38:15,495,336
20:38:16,496,336
20:38:17,497,337
20:38:18,498,337
20:38:19,499,337
20:38:20,500,337
20:38:21,501,337
20:38:22,502,337
20:38:23,503,337
20:38:24,504,337
20:38:25,505,337
20:38:26,506,337
20:38:27,507,337
20:38:28,508,336
20:38:29,509,336
20:38:30,510,336
20:38:31,511,336
20:38:32,512,336
20:38:33,513,336
20:38:34,514,336
20:38:35,515,336
20:38:36,516,336
20:38:37,517,336
20:38:38,518,336
20:38:39,519,336
20:38:40,520,336
20:38:41,521,336
20:38:42,522,336
20:38:43,523,336
20:38:44,524,336
20:38:45,525,336
20:38:46,526,336
20:38:47,527,336
20:38:48,528,336
20:38:49,529,336
20:38:50,530,336
20:38:51,531,336
20:38:52,532,336
20:38:53,533,336
20:38:54,534,336
20:38:55,535,336
20:38:56,536,336
20:38:57,537,336
20:38:58,538,336
20:38:59,539,336
20:39:00,540,336
20:39:01,541,336
20:39:02,542,336
20:39:03,543,336
20:39:04,544,336
20:39:05,545,336
20:39:06,546,336
20:39:07,547,336
20:39:08,548,336
20:39:09,549,335
20:39:10,550,335
20:39:11,551,335
20:39:12,552,335
20:39:13,553,335
20:39:14,554,335
20:39:15,555,336
20:39:16,556,336
20:39:17,557,336
20:39:18,558,336
20:39:19,559,336
20:39:20,560,336
20:39:21,561,335
20:39:22,562,335
20:39:23,563,335
20:39:24,564,335
20:39:25,565,335
20:39:26,566,335
20:39:27,567,335
20:39:28,568,335
20:39:29,569,335
20:39:30,570,335
20:39:31,571,335
20:39:32,572,335
20:39:33,573,335
20:39:34,574,335
20:39:35,575,335
20:39:36,576,335
20:39:37,577,335
20:39:38,578,335
20:39:39,579,335
20:39:40,580,335
20:39:41,581,335
20:39:42,582,335
20:39:43,583,335
20:39:44,584,335
20:39:45,585,335
20:39:46,586,335
20:39:47,587,335
20:39:48,588,335
20:39:49,589,335
20:39:50,590,335
20:39:51,591,335
20:39:52,592,335
20:39:53,593,335
20:39:54,594,335
20:39:55,595,335
20:39:56,596,335
20:39:57,597,335
20:39:58,598,335
20:39:59,599,335
20:40:00,600,335
20:40:01,601,335
20:40:02,602,335
20:40:03,603,335
20:40:04,604,335
20:40:05,605,335
20:40:06,606,335
20:40:07,607,335
20:40:08,608,335
20:40:09,609,335
20:40:10,610,335
20:40:11,611,335
20:40:12,612,335
20:40:13,613,335
20:40:14,614,335
20:40:15,615,335
20:40:16,616,335
20:40:17,617,335
20:40:18,618,335
20:40:19,619,335
20:40:20,620,335
20:40:21,621,335
20:40:22,622,335
20:40:23,623,335
20:40:24,624,335
20:40:25,625,335
20:40:26,626,335
20:40:27,627,335
20:40:28,628,335
20:40:29,629,335
20:40:30,630,335
20:40:31,631,335
20:40:32,632,335
20:40:33,633,335
20:40:34,634,335
20:40:35,635,335
20:40:36,636,335
20:40:37,637,335
20:40:38,638,335
20:40:39,639,335
20:40:40,640,335
20:40:41,641,335
20:40:42,642,335
20:40:43,643,335
20:40:44,644,335
20:40:45,645,335
20:40:46,646,335
20:40:47,647,335
20:40:48,648,335
20:40:49,649,335
20:40:50,650,335
20:40:51,651,334
20:40:52,652,334
20:40:53,653,334
20:40:54,654,334
20:40:55,655,334
20:40:56,656,334
20:40:57,657,334
20:40:58,658,334
20:40:59,659,334
20:41:00,660,334
20:41:01,661,334
20:41:02,662,334
20:41:03,663,334
20:41:04,664,334
20:41:05,665,334
20:41:06,666,334
20:41:07,667,334
20:41:08,668,334
20:41:09,669,334
20:41:10,670,334
20:41:11,671,334
20:41:12,672,334
20:41:13,673,334
20:41:14,674,334
20:41:15,675,334
20:41:16,676,334
20:41:17,677,334
20:41:18,678,334
20:41:19,679,334
20:41:20,680,334
20:41:21,681,334
20:41:22,682,334
20:41:23,683,334
20:41:24,684,334
20:41:25,685,334
20:41:26,686,334
20:41:27,687,334
20:41:28,688,334
20:41:29,689,334
20:41:30,690,334
20:41:31,691,334
20:41:32,692,334
20:41:33,693,334
20:41:34,694,334
20:41:35,695,334
20:41:36,696,334
20:41:37,697,334
20:41:38,698,334
20:41:39,699,334
20:41:40,700,334
20:41:41,701,334
20:41:42,702,334
20:41:43,703,334
20:41:44,704,334
20:41:45,705,334
20:41:46,706,334
20:41:47,707,334
20:41:48,708,334
20:41:49,709,334
20:41:50,710,334
20:41:51,711,334
20:41:52,712,334
20:41:53,713,334
20:41:54,714,334
20:41:55,715,334
20:41:56,716,334
20:41:57,717,334
20:41:58,718,334
20:41:59,719,334
20:42:00,720,334
20:42:01,721,334
20:42:02,722,334
20:42:03,723,334
20:42:04,724,334
20:42:05,725,334
20:42:06,726,334
20:42:07,727,334
20:42:08,728,334
20:42:09,729,334
20:42:10,730,334
20:42:11,731,334
20:42:12,732,334
20:42:13,733,334
20:42:14,734,334
20:42:15,735,334
20:42:16,736,334
20:42:17,737,334
20:42:18,738,334
20:42:19,739,334
20:42:20,740,333
20:42:21,741,333
20:42:22,742,333
20:42:23,743,333
20:42:24,744,333
20:42:25,745,333
20:42:26,746,333
20:42:27,747,333
20:42:28,748,333
20:42:29,749,333
20:42:30,750,333
20:42:31,751,333
20:42:32,752,333
20:42:33,753,333
20:42:34,754,333
20:42:35,755,333
20:42:36,756,333
20:42:37,757,333
20:42:38,758,333
20:42:39,759,333
20:42:40,760,333
20:42:41,761,333
20:42:42,762,333
20:42:43,763,333
20:42:44,764,333
20:42:45,765,333
20:42:46,766,333
20:42:47,767,332
20:42:48,768,332
20:42:49,769,331
20:42:50,770,332
20:42:51,771,332
20:42:52,772,332
20:42:53,773,333
20:42:54,774,333
20:42:55,775,333
20:42:56,776,333
20:42:57,777,333
20:42:58,778,333
20:42:59,779,333
20:43:00,780,331
20:43:01,781,331
20:43:02,782,332
20:43:03,783,332
20:43:04,784,332
20:43:05,785,333
20:43:06,786,333
20:43:07,787,333
20:43:08,788,333
20:43:09,789,333
20:43:10,790,333
20:43:11,791,333
20:43:12,792,333
20:43:13,793,333
20:43:14,794,333
20:43:15,795,333
20:43:16,796,333
20:43:17,797,333
20:43:18,798,333
20:43:19,799,333
20:43:20,800,333
20:43:21,801,333
20:43:22,802,333
20:43:23,803,333
20:43:24,804,333
20:43:25,805,333
20:43:26,806,333
20:43:27,807,333
20:43:28,808,333
20:43:29,809,333
20:43:30,810,333
20:43:31,811,333
20:43:32,812,333
20:43:33,813,333
20:43:34,814,333
20:43:35,815,333
20:43:36,816,333
20:43:37,817,333
20:43:38,818,333
20:43:39,819,333
20:43:40,820,333
20:43:41,821,333
20:43:42,822,333
20:43:43,823,333
20:43:44,824,333
20:43:45,825,333
20:43:46,826,333
20:43:47,827,333
20:43:48,828,333
20:43:49,829,333
20:43:50,830,333
20:43:51,831,333
20:43:52,832,333
20:43:53,833,333
20:43:54,834,333
20:43:55,835,333
20:43:56,836,333
20:43:57,837,333
20:43:58,838,333
20:43:59,839,333
20:44:00,840,333
20:44:01,841,333
20:44:02,842,333
20:44:03,843,333
20:44:04,844,333
20:44:05,845,333
20:44:06,846,333
20:44:07,847,333
20:44:08,848,333
20:44:09,849,333
20:44:10,850,333
20:44:11,851,333
20:44:12,852,333
20:44:13,853,333
20:44:14,854,333
20:44:15,855,333
20:44:16,856,333
20:44:17,857,333
20:44:18,858,333
20:44:19,859,333
20:44:20,860,333
20:44:21,861,333
20:44:22,862,333
20:44:23,863,333
20:44:24,864,333
20:44:25,865,333
20:44:26,866,333
20:44:27,867,333
20:44:28,868,333
20:44:29,869,333
20:44:30,870,333
20:44:31,871,333
20:44:32,872,333
