"Date","débit Guiers Saint Laurent (m3/s) "
23/04/2022 00:00:00,4.5
23/04/2022 02:00:00,4.4
23/04/2022 04:00:00,4.3
23/04/2022 06:00:00,4.2
23/04/2022 08:00:00,4.2
23/04/2022 10:00:00,4.1
23/04/2022 12:00:00,4
23/04/2022 14:00:00,4
23/04/2022 16:00:00,4
23/04/2022 18:00:00,4
23/04/2022 20:00:00,4
23/04/2022 22:00:00,4
24/04/2022 00:00:00,5
24/04/2022 02:00:00,7
24/04/2022 04:00:00,5.5
24/04/2022 06:00:00,7
24/04/2022 08:00:00,5.5
24/04/2022 10:00:00,5
24/04/2022 12:00:00,5
24/04/2022 14:00:00,4
24/04/2022 16:00:00,4
24/04/2022 18:00:00,4
24/04/2022 20:00:00,4
24/04/2022 22:00:00,4
25/04/2022 00:00:00,4
25/04/2022 02:00:00,4
25/04/2022 04:00:00,4.6
25/04/2022 06:00:00,9
25/04/2022 08:00:00,13.5
25/04/2022 10:00:00,20
25/04/2022 12:00:00,23
25/04/2022 14:00:00,17.2
25/04/2022 16:00:00,13
25/04/2022 18:00:00,12
25/04/2022 20:00:00,11
25/04/2022 22:00:00,10
26/04/2022 00:00:00,9
26/04/2022 02:00:00,7.5
26/04/2022 04:00:00,7
26/04/2022 06:00:00,6.7
26/04/2022 08:00:00,6
26/04/2022 10:00:00,5.8
26/04/2022 12:00:00,5.5
26/04/2022 14:00:00,6
26/04/2022 16:00:00,6.5
26/04/2022 18:00:00,6.2
26/04/2022 20:00:00,6
26/04/2022 22:00:00,6.8
27/04/2022 00:00:00,6.8
27/04/2022 02:00:00,6.5
27/04/2022 04:00:00,6
27/04/2022 06:00:00,5.5
27/04/2022 08:00:00,5
27/04/2022 10:00:00,4.5
27/04/2022 12:00:00,4.2
27/04/2022 14:00:00,4.2
27/04/2022 16:00:00,4.6
27/04/2022 18:00:00,4.8
27/04/2022 20:00:00,4.6
27/04/2022 22:00:00,5
28/04/2022 00:00:00,4.8
28/04/2022 02:00:00,4.4
28/04/2022 04:00:00,4.2
28/04/2022 06:00:00,4.2
28/04/2022 08:00:00,4.5
28/04/2022 10:00:00,4.5
28/04/2022 12:00:00,4.1
28/04/2022 14:00:00,3.85
28/04/2022 16:00:00,3.8
28/04/2022 18:00:00,3.7
28/04/2022 20:00:00,4.6
28/04/2022 22:00:00,4.2
29/04/2022 00:00:00,4.35
29/04/2022 02:00:00,4.2
29/04/2022 04:00:00,4.3
29/04/2022 06:00:00,4.5
29/04/2022 08:00:00,4.4
29/04/2022 10:00:00,3.95
29/04/2022 12:00:00,3.8
29/04/2022 14:00:00,3.7
29/04/2022 16:00:00,3.7
29/04/2022 18:00:00,3.6
29/04/2022 20:00:00,3.7
29/04/2022 22:00:00,4.5
30/04/2022 00:00:00,4.15
30/04/2022 02:00:00,4.4
30/04/2022 04:00:00,4.3
30/04/2022 06:00:00,4.1
