,,,"GGUN-FL Fluorometer #323  - Signals in mV ",,,,,,,,,,
,,,"------","-------------","---------","-------------","--",,,,,,
"#","Time","R","Tracer 1","Tracer 2","Tracer 3","Turbidity  ","Baseline","Battery V","T","Conductiv","temps","Débit  (m3/s)","Concentration Fluo (kg/m3)"
1,"22/04/23-10:37:09",0,9.06,1.37,2.19,16.42,13.91,13.16,7.34,0.1,23.452,0.177608875145251,-0.000000000540499999999989
2,"22/04/23-10:52:09",0,9.07,1.35,2.18,16.29,13.92,13.14,7,0.102,23.4624166666667,0.17877985180767,0
3,"22/04/23-11:07:09",0,9.07,1.36,2.16,16.28,13.93,13.12,6.81,0.104,23.4728333333333,0.178126458315952,0
4,"22/04/23-11:22:09",0,9.15,1.37,2.16,16.3,13.88,13.11,6.75,0.108,23.48325,0.178126458315952,0.000000004324
5,"22/04/23-11:37:09",0,9.08,1.37,2.15,16.24,13.93,13.1,6.71,0.108,23.4936666666667,0.178126458315952,0.000000000540499999999989
6,"22/04/23-11:52:09",0,9.1,1.37,2.16,16.35,13.92,13.09,6.69,0.102,23.5040833333333,0.179562364824947,0.00000000162149999999997
7,"22/04/23-12:07:09",0,9.15,1.38,2.17,16.34,13.92,13.08,6.68,0.1,23.5145,0.17877985180767,0.000000004324
8,"22/04/23-12:22:09",0,9.09,1.37,2.17,16.28,13.93,13.08,6.68,0.111,23.5249166666667,0.179562364824947,0.00000000108099999999998
9,"22/04/23-12:37:08",0,9.13,1.35,2.16,16.31,13.9,13.08,6.68,0.106,23.5353333333333,0.179562364824947,0.00000000324300000000003
10,"22/04/23-12:52:08",0,9.11,1.36,2.18,16.28,13.91,13.07,6.68,0.106,23.54575,0.180467467917191,0.00000000216199999999995
11,"22/04/23-13:07:08",0,9.09,1.39,2.18,16.24,13.93,13.07,6.68,0.104,23.5561666666667,0.180467467917191,0.00000000108099999999998
12,"22/04/23-13:22:08",0,9.17,1.37,2.18,16.26,13.93,13.07,6.68,0.102,23.5665833333333,0.179562364824958,0.00000000540499999999998
13,"22/04/23-13:37:08",0,9.14,1.35,2.17,16.3,13.93,13.07,6.68,0.105,23.577,0.17877985180767,0.00000000378350000000002
14,"22/04/23-13:52:08",0,9.18,1.38,2.17,16.3,13.89,13.06,6.68,0.101,23.5874166666667,0.17877985180767,0.00000000594549999999997
15,"22/04/23-14:07:08",0,9.15,1.39,2.17,16.38,13.89,13.06,6.68,0.102,23.5978333333334,0.178126458315952,0.000000004324
