,"Name sensor",,"Time(s)","Date","Pressure (mbar)","T (°K)"
1,"SU-17126",8872174,0,22/04/2022 20:12:02,972,"297.6"
1,"SU-17126",8872174,900,22/04/2022 20:27:02,972,"296.45"
1,"SU-17126",8872174,1800,22/04/2022 20:42:02,974,"294.38"
1,"SU-17126",8872174,2700,22/04/2022 20:57:02,972,"293.52"
1,"SU-17126",8872174,3600,22/04/2022 21:12:02,972,"293.16"
1,"SU-17126",8872174,4500,22/04/2022 21:27:02,972,"293.2"
1,"SU-17126",8872174,5400,22/04/2022 21:42:02,972,"293.0"
1,"SU-17126",8872174,6300,22/04/2022 21:57:02,972,"293.4"
1,"SU-17126",8872174,7200,22/04/2022 22:12:02,972,"293.10"
1,"SU-17126",8872174,8100,22/04/2022 22:27:02,973,"293.16"
1,"SU-17126",8872174,9000,22/04/2022 22:42:02,973,"293.22"
1,"SU-17126",8872174,9900,22/04/2022 22:57:02,973,"293.28"
1,"SU-17126",8872174,10800,22/04/2022 23:12:02,973,"293.33"
1,"SU-17126",8872174,11700,22/04/2022 23:27:02,973,"293.42"
1,"SU-17126",8872174,12600,22/04/2022 23:42:02,973,"293.50"
1,"SU-17126",8872174,13500,22/04/2022 23:57:02,973,"293.55"
1,"SU-17126",8872174,14400,23/04/2022 00:12:02,973,"293.57"
1,"SU-17126",8872174,15300,23/04/2022 00:27:02,973,"293.57"
1,"SU-17126",8872174,16200,23/04/2022 00:42:02,973,"293.56"
1,"SU-17126",8872174,17100,23/04/2022 00:57:02,974,"293.55"
1,"SU-17126",8872174,18000,23/04/2022 01:12:02,972,"293.53"
1,"SU-17126",8872174,18900,23/04/2022 01:27:02,973,"293.51"
1,"SU-17126",8872174,19800,23/04/2022 01:42:02,973,"293.49"
1,"SU-17126",8872174,20700,23/04/2022 01:57:02,973,"293.47"
1,"SU-17126",8872174,21600,23/04/2022 02:12:02,973,"293.44"
1,"SU-17126",8872174,22500,23/04/2022 02:27:02,973,"293.43"
1,"SU-17126",8872174,23400,23/04/2022 02:42:02,974,"293.40"
1,"SU-17126",8872174,24300,23/04/2022 02:57:02,973,"293.37"
1,"SU-17126",8872174,25200,23/04/2022 03:12:02,973,"293.36"
1,"SU-17126",8872174,26100,23/04/2022 03:27:02,973,"293.33"
1,"SU-17126",8872174,27000,23/04/2022 03:42:02,972,"293.32"
1,"SU-17126",8872174,27900,23/04/2022 03:57:02,972,"293.29"
1,"SU-17126",8872174,28800,23/04/2022 04:12:02,973,"293.27"
1,"SU-17126",8872174,29700,23/04/2022 04:27:02,973,"293.25"
1,"SU-17126",8872174,30600,23/04/2022 04:42:02,972,"293.24"
1,"SU-17126",8872174,31500,23/04/2022 04:57:02,973,"293.22"
1,"SU-17126",8872174,32400,23/04/2022 05:12:02,972,"293.19"
1,"SU-17126",8872174,33300,23/04/2022 05:27:02,973,"293.18"
