numéro,date,heure,lieu,opérateur,Mesure
2A,24/04/2022,14:59:00,amont reefnet,Romain,18
3A,24/04/2022,18:13:00,amont reefnet,Romain,18
4A,25/04/2022,07:29:00,amont reefnet,Benoit,23
5A,25/04/2022,20:08:00,amont reefnet,Benoit,16
6A,26/04/2022,07:14:00,amont reefnet,Benoit,15
7A,26/04/2022,19:25:00,amont reefnet,Benoit et Noémie,15
8A,27/04/2022,06:43:00,amont reefnet,Benoit,15
9A,27/04/2022,00:00:00,amont reefnet,Baudouin et Dorota,
10A,28/04/2022,18:26:00,amont reefnet,Romain,
1R,24/04/2022,09:50:00,résurgence,Romain,17
2R,24/04/2022,14:56:00,résurgence,Romain,17
3R,24/04/2022,18:09:00,résurgence,Romain,19
4R,25/04/2022,07:24:00,résurgence,Benoit,19
5R,25/04/2022,20:00:00,résurgence,Benoit,38
6R,26/04/2022,07:08:00,résurgence,Benoit,25
7R,26/04/2022,19:11:00,résurgence,Benoit et Noémie,21
8R,27/04/2022,06:40:00,résurgence,Benoit,23
9R,27/04/2022,00:00:00,résurgence,Baudouin et Dorota,
10R,28/04/2022,18:15:00,résurgence,Romain,
11R,29/04/2022,00:00:00,résurgence,Fabien,
12R,01/05/2022,00:00:00,résurgence,"Baudouin , Dorota et Benoît",
