"Date","Precip (mm)","Sum precip (mm)"
23/04/2022 14:30:00,0,0
23/04/2022 14:36:00,0,0
23/04/2022 14:42:00,0,0
23/04/2022 14:48:00,0,0
23/04/2022 14:54:00,0,0
23/04/2022 15:00:00,0,0
23/04/2022 15:06:00,0,0
23/04/2022 15:12:00,0,0
23/04/2022 15:18:00,0,0
23/04/2022 15:24:00,0,0
23/04/2022 15:30:00,0,0
23/04/2022 15:36:00,0,0
23/04/2022 15:42:00,0,0
23/04/2022 15:48:00,0,0
23/04/2022 15:54:00,0,0
23/04/2022 16:00:00,0,0
23/04/2022 16:06:00,0,0
23/04/2022 16:12:00,0,0
23/04/2022 16:18:00,0,0
23/04/2022 16:24:00,0,0
23/04/2022 16:30:00,0,0
23/04/2022 16:36:00,0,0
23/04/2022 16:42:00,0,0
23/04/2022 16:48:00,0,0
23/04/2022 16:54:00,0,0
23/04/2022 17:00:00,0,0
23/04/2022 17:06:00,0,0
23/04/2022 17:12:00,0,0
23/04/2022 17:18:00,0,0
23/04/2022 17:24:00,0,0
23/04/2022 17:30:00,0,0
23/04/2022 17:36:00,0,0
23/04/2022 17:42:00,0,0
23/04/2022 17:48:00,0,0
23/04/2022 17:54:00,0,0
23/04/2022 18:00:00,0,0
23/04/2022 18:06:00,0.2,0.2
23/04/2022 18:12:00,0.2,0.4
23/04/2022 18:18:00,0.2,0.6
23/04/2022 18:24:00,0.2,0.8
23/04/2022 18:30:00,0,0.8
23/04/2022 18:36:00,0.2,1
23/04/2022 18:42:00,0,1
23/04/2022 18:48:00,0,1
23/04/2022 18:54:00,0.2,1.2
23/04/2022 19:00:00,0.2,1.4
23/04/2022 19:06:00,0.2,1.6
23/04/2022 19:12:00,0.6,2.2
23/04/2022 19:18:00,0.4,2.6
23/04/2022 19:24:00,0.4,3
23/04/2022 19:30:00,0.2,3.2
23/04/2022 19:36:00,0.4,3.6
23/04/2022 19:42:00,0.8,4.4
23/04/2022 19:48:00,0.8,5.2
23/04/2022 19:54:00,0.8,6
23/04/2022 20:00:00,1,7
23/04/2022 20:06:00,1.4,8.4
23/04/2022 20:12:00,1.2,9.6
23/04/2022 20:18:00,0.4,10
23/04/2022 20:24:00,0.4,10.4
23/04/2022 20:30:00,0.4,10.8
23/04/2022 20:36:00,0.4,11.2
23/04/2022 20:42:00,0.4,11.6
23/04/2022 20:48:00,0.2,11.8
23/04/2022 20:54:00,0.2,12
23/04/2022 21:00:00,0,12
23/04/2022 21:06:00,0,12
23/04/2022 21:12:00,0,12
23/04/2022 21:18:00,0,12
23/04/2022 21:24:00,0,12
23/04/2022 21:30:00,0,12
23/04/2022 21:36:00,0,12
23/04/2022 21:42:00,0,12
23/04/2022 21:48:00,0,12
23/04/2022 21:54:00,0,12
23/04/2022 22:00:00,0,12
23/04/2022 22:06:00,0,12
23/04/2022 22:12:00,0,12
23/04/2022 22:18:00,0,12
23/04/2022 22:24:00,0,12
23/04/2022 22:30:00,0,12
23/04/2022 22:36:00,0,12
23/04/2022 22:42:00,0,12
23/04/2022 22:48:00,0,12
23/04/2022 22:54:00,0,12
23/04/2022 23:00:00,0,12
23/04/2022 23:06:00,0,12
